condition,type,fixed,code_system,code,comorbidity_system
cvd,dx,0,icd10,I499,pccc
cvd,dx,0,icd10,I509,pccc
cvd,dx,0,icd10,I515,pccc
cvd,dx,0,icd10,I517,pccc
cvd,dx,0,icd10,I2781,pccc
cvd,dx,0,icd10,I2789,pccc
cvd,dx,0,icd10,I5181,pccc
cvd,dx,0,icd10,I63139,pccc
cvd,dx,0,icd10,I63239,pccc
cvd,dx,0,icd10,Q20,pccc
cvd,dx,0,icd10,Q22,pccc
cvd,dx,0,icd10,Q23,pccc
cvd,dx,0,icd10,Q24,pccc
cvd,dx,0,icd10,Q26,pccc
cvd,dx,0,icd10,Q212,pccc
cvd,dx,0,icd10,Q213,pccc
cvd,dx,0,icd10,Q214,pccc
cvd,dx,0,icd10,Q218,pccc
cvd,dx,0,icd10,Q219,pccc
cvd,dx,0,icd10,Q251,pccc
cvd,dx,0,icd10,Q252,pccc
cvd,dx,0,icd10,Q253,pccc
cvd,dx,0,icd10,Q254,pccc
cvd,dx,0,icd10,Q255,pccc
cvd,dx,0,icd10,Q256,pccc
cvd,dx,0,icd10,Q257,pccc
cvd,dx,0,icd10,Q258,pccc
cvd,dx,0,icd10,Q259,pccc
cvd,dx,0,icd10,Q268,pccc
cvd,dx,0,icd10,Q282,pccc
cvd,dx,0,icd10,Q283,pccc
cvd,dx,0,icd10,Q289,pccc
cvd,dx,0,icd10,R001,pccc
cvd,dx,0,icd10,T826XXA,pccc
cvd,dx,0,icd10,T827XXA,pccc
cvd,dx,0,icd10,T8201XA,pccc
cvd,dx,0,icd10,T8202XA,pccc
cvd,dx,0,icd10,T8203XA,pccc
cvd,dx,0,icd10,T8209XA,pccc
cvd,dx,0,icd10,T82110A,pccc
cvd,dx,0,icd10,T82111A,pccc
cvd,dx,0,icd10,T82120A,pccc
cvd,dx,0,icd10,T82121A,pccc
cvd,dx,0,icd10,T82190A,pccc
cvd,dx,0,icd10,T82191A,pccc
cvd,dx,0,icd10,T82211A,pccc
cvd,dx,0,icd10,T82212A,pccc
cvd,dx,0,icd10,T82213A,pccc
cvd,dx,0,icd10,T82218A,pccc
cvd,dx,0,icd10,T82221A,pccc
cvd,dx,0,icd10,T82222A,pccc
cvd,dx,0,icd10,T82223A,pccc
cvd,dx,0,icd10,T82228A,pccc
cvd,dx,0,icd10,T82518A,pccc
cvd,dx,0,icd10,T82519A,pccc
cvd,dx,0,icd10,T82528A,pccc
cvd,dx,0,icd10,T82529A,pccc
cvd,dx,0,icd10,T82538A,pccc
cvd,dx,0,icd10,T82539A,pccc
cvd,dx,0,icd10,T82598A,pccc
cvd,dx,0,icd10,T82599A,pccc
cvd,dx,0,icd10,Z941,pccc
cvd,dx,0,icd10,Z950,pccc
cvd,dx,0,icd10,Z951,pccc
cvd,dx,0,icd10,Z952,pccc
cvd,dx,0,icd10,Z953,pccc
cvd,dx,0,icd10,Z959,pccc
cvd,dx,0,icd10,Z4502,pccc
cvd,dx,0,icd10,Z4509,pccc
cvd,dx,0,icd10,Z45010,pccc
cvd,dx,0,icd10,Z45018,pccc
cvd,dx,0,icd10,Z95810,pccc
cvd,dx,0,icd10,Z95811,pccc
cvd,dx,0,icd10,Z95812,pccc
cvd,dx,0,icd10,Z95818,pccc
cvd,dx,1,icd9,416,pccc
cvd,pc,0,icd9,0050,pccc
cvd,pc,0,icd9,0051,pccc
cvd,pc,0,icd9,0053,pccc
cvd,pc,0,icd9,0054,pccc
cvd,pc,0,icd9,0055,pccc
cvd,pc,0,icd9,0057,pccc
cvd,pc,0,icd9,1751,pccc
cvd,pc,0,icd9,1752,pccc
cvd,pc,0,icd9,3581,pccc
cvd,pc,0,icd9,3582,pccc
cvd,pc,0,icd9,3583,pccc
cvd,pc,0,icd9,3584,pccc
cvd,pc,0,icd9,3741,pccc
cvd,pc,0,icd9,3751,pccc
cvd,pc,0,icd9,3752,pccc
cvd,pc,0,icd9,3753,pccc
cvd,pc,0,icd9,3754,pccc
cvd,pc,0,icd9,3755,pccc
cvd,pc,0,icd9,3760,pccc
cvd,pc,0,icd9,3761,pccc
cvd,pc,0,icd9,3763,pccc
cvd,pc,0,icd9,3765,pccc
cvd,pc,0,icd9,3766,pccc
cvd,pc,0,icd9,3767,pccc
cvd,pc,0,icd9,3768,pccc
cvd,pc,0,icd9,3771,pccc
cvd,pc,0,icd9,3772,pccc
cvd,pc,0,icd9,3774,pccc
cvd,pc,0,icd9,3776,pccc
cvd,pc,0,icd9,3779,pccc
cvd,pc,0,icd9,3780,pccc
cvd,pc,0,icd9,3781,pccc
cvd,pc,0,icd9,3782,pccc
cvd,pc,0,icd9,3783,pccc
cvd,pc,0,icd9,3785,pccc
cvd,pc,0,icd9,3786,pccc
cvd,pc,0,icd9,3787,pccc
cvd,pc,0,icd9,3789,pccc
cvd,pc,0,icd9,3794,pccc
cvd,pc,0,icd9,3795,pccc
cvd,pc,0,icd9,3796,pccc
cvd,pc,0,icd9,3797,pccc
cvd,pc,0,icd9,3798,pccc
cvd,pc,0,icd9,3981,pccc
cvd,pc,0,icd9,3982,pccc
cvd,pc,0,icd9,3983,pccc
cvd,pc,0,icd9,3984,pccc
cvd,pc,0,icd9,3985,pccc
cvd,pc,0,icd9,8945,pccc
cvd,pc,0,icd9,8946,pccc
cvd,pc,0,icd9,8947,pccc
cvd,pc,0,icd9,8948,pccc
cvd,pc,0,icd9,8949,pccc
cvd,pc,0,icd10,0JH60AZ,pccc
cvd,pc,0,icd10,0JH60MZ,pccc
cvd,pc,0,icd10,0JH60PZ,pccc
cvd,pc,0,icd10,0JH63AZ,pccc
cvd,pc,0,icd10,0JH63MZ,pccc
cvd,pc,0,icd10,0JH63PZ,pccc
cvd,pc,0,icd10,0JH70MZ,pccc
cvd,pc,0,icd10,0JH73MZ,pccc
cvd,pc,0,icd10,0JH80AZ,pccc
cvd,pc,0,icd10,0JH80MZ,pccc
cvd,pc,0,icd10,0JH80PZ,pccc
cvd,pc,0,icd10,0JH83AZ,pccc
cvd,pc,0,icd10,0JH83MZ,pccc
cvd,pc,0,icd10,0JH83PZ,pccc
cvd,pc,0,icd10,0JH600Z,pccc
cvd,pc,0,icd10,0JH605Z,pccc
cvd,pc,0,icd10,0JH606Z,pccc
cvd,pc,0,icd10,0JH607Z,pccc
cvd,pc,0,icd10,0JH608Z,pccc
cvd,pc,0,icd10,0JH609Z,pccc
cvd,pc,0,icd10,0JH630Z,pccc
cvd,pc,0,icd10,0JH635Z,pccc
cvd,pc,0,icd10,0JH636Z,pccc
cvd,pc,0,icd10,0JH637Z,pccc
cvd,pc,0,icd10,0JH638Z,pccc
cvd,pc,0,icd10,0JH639Z,pccc
cvd,pc,0,icd10,0JH800Z,pccc
cvd,pc,0,icd10,0JH805Z,pccc
cvd,pc,0,icd10,0JH806Z,pccc
cvd,pc,0,icd10,0JH807Z,pccc
cvd,pc,0,icd10,0JH808Z,pccc
cvd,pc,0,icd10,0JH809Z,pccc
cvd,pc,0,icd10,0JH830Z,pccc
cvd,pc,0,icd10,0JH835Z,pccc
cvd,pc,0,icd10,0JH836Z,pccc
cvd,pc,0,icd10,0JH837Z,pccc
cvd,pc,0,icd10,0JH838Z,pccc
cvd,pc,0,icd10,0JH839Z,pccc
cvd,pc,0,icd10,0JWT0MZ,pccc
cvd,pc,0,icd10,0JWT0PZ,pccc
cvd,pc,0,icd10,0JWT3MZ,pccc
cvd,pc,0,icd10,0JWT3PZ,pccc
cvd,pc,0,icd10,0JWTXMZ,pccc
cvd,pc,0,icd10,02BK0ZZ,pccc
cvd,pc,0,icd10,02H40JZ,pccc
cvd,pc,0,icd10,02H40KZ,pccc
cvd,pc,0,icd10,02H43JZ,pccc
cvd,pc,0,icd10,02H44JZ,pccc
cvd,pc,0,icd10,02H44KZ,pccc
cvd,pc,0,icd10,02H60JZ,pccc
cvd,pc,0,icd10,02H60KZ,pccc
cvd,pc,0,icd10,02H63JZ,pccc
cvd,pc,0,icd10,02H63KZ,pccc
cvd,pc,0,icd10,02H63MZ,pccc
cvd,pc,0,icd10,02H64JZ,pccc
cvd,pc,0,icd10,02H64KZ,pccc
cvd,pc,0,icd10,02H70KZ,pccc
cvd,pc,0,icd10,02H73JZ,pccc
cvd,pc,0,icd10,02H73KZ,pccc
cvd,pc,0,icd10,02H73MZ,pccc
cvd,pc,0,icd10,02H74KZ,pccc
cvd,pc,0,icd10,02HA0QZ,pccc
cvd,pc,0,icd10,02HA0RS,pccc
cvd,pc,0,icd10,02HA0RZ,pccc
cvd,pc,0,icd10,02HA3QZ,pccc
cvd,pc,0,icd10,02HA3RS,pccc
cvd,pc,0,icd10,02HA4QZ,pccc
cvd,pc,0,icd10,02HA4RS,pccc
cvd,pc,0,icd10,02HK0JZ,pccc
cvd,pc,0,icd10,02HK0KZ,pccc
cvd,pc,0,icd10,02HK3JZ,pccc
cvd,pc,0,icd10,02HK3KZ,pccc
cvd,pc,0,icd10,02HK3MZ,pccc
cvd,pc,0,icd10,02HK4JZ,pccc
cvd,pc,0,icd10,02HK4KZ,pccc
cvd,pc,0,icd10,02HL0JZ,pccc
cvd,pc,0,icd10,02HL0KZ,pccc
cvd,pc,0,icd10,02HL0MZ,pccc
cvd,pc,0,icd10,02HL3JZ,pccc
cvd,pc,0,icd10,02HL3KZ,pccc
cvd,pc,0,icd10,02HL3MZ,pccc
cvd,pc,0,icd10,02HL4JZ,pccc
cvd,pc,0,icd10,02HL4KZ,pccc
cvd,pc,0,icd10,02HL4MZ,pccc
cvd,pc,0,icd10,02HN0JZ,pccc
cvd,pc,0,icd10,02HN0KZ,pccc
cvd,pc,0,icd10,02HN0MZ,pccc
cvd,pc,0,icd10,02HN3JZ,pccc
cvd,pc,0,icd10,02HN3KZ,pccc
cvd,pc,0,icd10,02HN3MZ,pccc
cvd,pc,0,icd10,02HN4JZ,pccc
cvd,pc,0,icd10,02HN4KZ,pccc
cvd,pc,0,icd10,02HN4MZ,pccc
cvd,pc,0,icd10,02LR0ZT,pccc
cvd,pc,0,icd10,02LS0ZZ,pccc
cvd,pc,0,icd10,02LT0ZZ,pccc
cvd,pc,0,icd10,02NH0ZZ,pccc
cvd,pc,0,icd10,02RK0JZ,pccc
cvd,pc,0,icd10,02RL0JZ,pccc
cvd,pc,0,icd10,02RM0JZ,pccc
cvd,pc,0,icd10,02RP0JZ,pccc
cvd,pc,0,icd10,02RQ0JZ,pccc
cvd,pc,0,icd10,02RQ07Z,pccc
cvd,pc,0,icd10,02RR0JZ,pccc
cvd,pc,0,icd10,02RR07Z,pccc
cvd,pc,0,icd10,02SP0ZZ,pccc
cvd,pc,0,icd10,02SW0ZZ,pccc
cvd,pc,0,icd10,02U70JZ,pccc
cvd,pc,0,icd10,02UA0JZ,pccc
cvd,pc,0,icd10,02UA3JZ,pccc
cvd,pc,0,icd10,02UA4JZ,pccc
cvd,pc,0,icd10,02VR0ZT,pccc
cvd,pc,0,icd10,02WA0JZ,pccc
cvd,pc,0,icd10,02WA0QZ,pccc
cvd,pc,0,icd10,02WA0RZ,pccc
cvd,pc,0,icd10,02WA3QZ,pccc
cvd,pc,0,icd10,02WA3RZ,pccc
cvd,pc,0,icd10,02WA4QZ,pccc
cvd,pc,0,icd10,02WA4RZ,pccc
cvd,pc,0,icd10,02YA0Z0,pccc
cvd,pc,0,icd10,02YA0Z1,pccc
cvd,pc,0,icd10,02YA0Z2,pccc
cvd,pc,0,icd10,03HK0MZ,pccc
cvd,pc,0,icd10,03HK3MZ,pccc
cvd,pc,0,icd10,03HK4MZ,pccc
cvd,pc,0,icd10,03HL0MZ,pccc
cvd,pc,0,icd10,03HL3MZ,pccc
cvd,pc,0,icd10,03HL4MZ,pccc
cvd,pc,0,icd10,03WY0MZ,pccc
cvd,pc,0,icd10,03WY3MZ,pccc
cvd,pc,0,icd10,03WY4MZ,pccc
cvd,pc,0,icd10,4B02XSZ,pccc
cvd,pc,0,icd10,4B02XTZ,pccc
cvd,pc,0,icd10,5A0211D,pccc
cvd,pc,0,icd10,5A0221D,pccc
cvd,pc,0,icd10,5A02110,pccc
cvd,pc,0,icd10,5A02116,pccc
cvd,pc,0,icd10,5A02210,pccc
cvd,pc,0,icd10,5A02216,pccc
cvd,pc,0,icd10,02170ZP,pccc
cvd,pc,0,icd10,02170ZQ,pccc
cvd,pc,0,icd10,02170ZR,pccc
gi,dx,0,icd9,555,pccc
gi,dx,0,icd9,556,pccc
gi,dx,0,icd9,751,pccc
gi,dx,0,icd9,4530,pccc
gi,dx,0,icd9,5364,pccc
gi,dx,0,icd9,5571,pccc
gi,dx,0,icd9,5602,pccc
gi,dx,0,icd9,5647,pccc
gi,dx,0,icd9,5714,pccc
gi,dx,0,icd9,5715,pccc
